max_wrist_speed,elbow_angle,release_height,wrist_horizontal_range,wrist_vertical_range,fps,video_name
40853.67757782681,165.98267188170328,282.68402,1641.9587,899.7059,41.221374045801525,72.17.mov
46996.316736921486,166.46254792013036,143.44342,1590.0984,526.0012,34.55696202531646,74.56.mov
8804.286003112793,176.6518105882366,86.51721,804.0045,518.0412,37.5,74.8.mov
11591.655686624934,134.39493848283408,1.4254761,891.8331,364.51694,57.640449438202246,75.13.mov
49369.426668128195,170.75816121806838,247.62585,1366.7478,868.98926,56.734693877551024,75.7.mov
12146.93006036932,150.36754502026938,65.89102,521.2767,445.79523,42.32727272727273,78.19.mov
96868.40887422246,170.2582941116036,148.15698,1888.632,592.85815,53.74407582938389,78.44.mov
71742.30480105378,105.17566019211246,218.33527,1535.6456,859.7262,42.325581395348834,79.66.mov
21789.691533627716,103.37840614276521,128.1442,719.2073,378.33145,46.55518394648829,80.44.mov
7005.6872968711405,125.02513768380526,191.586,796.4826,570.6257,34.62450592885376,80.64.mov
9243.233445690525,73.8782641221799,75.42038,483.79767,424.7101,28.70967741935484,80.75.mov
13781.834145403922,152.95637722694386,154.5393,652.18243,456.06476,41.702127659574465,82.29.mov
46709.26977882923,117.9232150853135,223.33331,2059.9856,881.7475,35.68075117370892,83.38.mov
43101.71712239583,164.81191138818318,264.84448,1764.1558,966.03107,34.166666666666664,84.77.mov
15609.007933679288,168.88668887178648,130.0683,1112.6298,585.15894,25.401459854014597,85.78.mov
21550.656836198614,170.2800685870156,180.06757,1607.7102,546.97345,34.973262032085564,85.79.mov
9812.36119173011,167.44832679869953,185.14355,840.60535,321.9683,32.755102040816325,86.67.mov
72462.6416015625,119.59746159759892,248.75946,1947.0793,845.4508,35.20661157024794,88.17.mov
17385.499877929688,176.64975842806248,66.47891,743.8522,372.29987,30.0,FT100-GT.mp4
14963.007202148438,166.43938998636577,78.12648,537.3025,398.3633,30.0,FT102-GT.mp4
17589.197387695312,169.9119579229322,26.285095,784.17224,422.50772,30.0,FT131-GT.mp4
14280.743408203125,70.39850411637387,24.868622,741.3665,242.82367,30.0,FT134-GT.mp4
15949.246215820312,176.28779605143833,71.57561,748.8617,182.59576,30.0,FT136-GT.mp4
26939.562377929688,167.4332989444833,153.7453,1211.7874,615.4155,30.0,FT14-GT.mp4
13962.361450195312,177.38235233108793,0.6627655,640.3268,363.11404,30.0,FT146-GT.mp4
26179.861450195312,107.14061292108096,89.77701,1242.4166,642.8433,30.0,FT15-GT.mp4
15454.720458984375,88.36130000996451,69.807236,707.8495,383.16483,30.0,FT150-GT.mp4
14070.584106445312,161.64256980434806,67.23384,715.0826,389.35828,30.0,FT156-GT.mp4
12811.395263671875,138.55426149498456,45.50731,599.9485,277.23727,30.0,FT159-GT.mp4
23952.127075195312,153.49971736667382,55.750168,809.219,388.83844,30.0,FT161-GT.mp4
22882.267456054688,98.36416979676324,32.69043,777.17285,373.14908,30.0,FT162-GT.mp4
17640.715942382812,92.92470668842118,53.665558,738.80475,298.27863,30.0,FT165-GT.mp4
19900.030517578125,37.87546141026487,98.3266,761.7209,380.10077,30.0,FT167-GT.mp4
22999.011840820312,115.64409507586312,38.05194,750.99506,402.64594,30.0,FT168-GT.mp4
18834.063720703125,109.92506306478208,51.13748,694.21155,332.6136,30.0,FT169-GT.mp4
16315.30517578125,152.5218007111827,60.514908,611.2445,129.43556,30.0,FT172-GT.mp4
15219.212036132812,158.5877202677029,42.85266,707.1976,358.86127,30.0,FT173-GT.mp4
16006.66259765625,172.58834427648753,21.392776,796.505,341.67834,30.0,FT174-GT.mp4
20803.641357421875,127.660139423679,36.597412,733.3729,357.47955,30.0,FT175-GT.mp4
12195.732421875,173.956045599146,50.389145,671.1642,269.5591,30.0,FT177-GT.mp4
19837.21435546875,137.5025054064994,32.04364,627.5688,320.748,30.0,FT178-GT.mp4
23028.067016601562,140.23639752023743,152.069,883.0677,562.5907,30.0,FT18-GT.mp4
36084.173583984375,147.80526799109498,123.70996,1272.0398,702.24634,30.0,FT2-GT.mp4
16986.668701171875,171.6826998846764,33.488556,824.9647,268.61203,30.0,FT20-GT.mp4
21683.873291015625,175.52961353294327,28.72992,1053.9917,611.32825,30.0,FT21-GT.mp4
17897.089233398438,157.02290994366615,294.3704,721.3179,579.9629,30.0,FT23-GT.mp4
22444.6728515625,142.99579573273715,273.06342,897.24805,579.0772,30.0,FT23-GT_0.mp4
13880.050048828125,162.5227580563335,233.52805,639.6794,541.3367,30.0,FT23-GT_1.mp4
19899.349365234375,131.48581170347273,283.87128,1185.2141,599.1831,30.0,FT23-GT_2.mp4
16179.0380859375,159.28438245023017,291.64688,696.90515,565.9597,30.0,FT23-GT_3.mp4
19948.943481445312,159.01653257964975,323.7822,771.9873,625.42737,30.0,FT23-GT_4.mp4
13621.38427734375,164.2241423016019,253.74936,743.95685,565.14014,30.0,FT23-GT_5.mp4
20838.894653320312,138.30043497945243,272.15674,698.8963,594.53125,30.0,FT23-GT_6.mp4
15261.827087402344,158.02087521900265,280.00677,724.5862,585.99274,30.0,FT23-GT_7.mp4
25131.968994140625,150.89184130167547,318.11426,956.18616,591.2129,30.0,FT23-GT_8.mp4
17522.048950195312,168.9648862226477,285.80084,670.32745,590.0193,30.0,FT23-GT_9.mp4
30454.905395507812,140.29655977443716,19.606049,1009.2166,522.5773,30.0,FT24-GT.mp4
